marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class
1,45.0,41.0,5408.2138671875,1411.3214111328125,2619.2333984375,53.762826807796955,-6.247961316257715,120.0,40.58821105957031,1.0,1019.548583984375,1,pitch
2,88.0,89.0,1551.4393310546875,130.04705810546875,662.434814453125,53.76310349442065,-6.247385395690799,40.0,0.0,1.0,1030.2650146484375,1,putt
3,102.0,103.0,1354.0029296875,199.085205078125,628.9905395507812,53.76309980638325,-6.24747633934021,40.0,0.0,2.0,1026.6824951171875,1,putt
4,137.0,134.0,7923.3232421875,1833.5955810546875,3985.28076171875,53.763023195788264,-6.247796108946204,40.0,45.77392578125,1.0,1021.76611328125,2,pitch
5,178.0,179.0,1341.335205078125,83.08708953857422,333.826416015625,53.763407254591584,-6.247159922495484,120.0,0.0,2.0,1027.632080078125,2,chip
6,215.0,214.0,7272.99365234375,1834.4298095703125,4849.607421875,53.763276329264045,-6.247105188667774,80.0,37.880489349365234,1.0,1017.2612915039062,3,pitch
7,256.0,254.0,1290.40771484375,112.56214904785156,119.4493408203125,53.76375108025968,-6.246912656351924,320.0,0.0,1.0,1024.5740966796875,3,putt
8,269.0,263.0,1427.9075927734375,242.3239288330078,452.01953125,53.763688299804926,-6.247021704912186,200.0,4.747962951660156,3.0,1024.189453125,3,putt
9,322.0,321.0,7125.83740234375,1726.194091796875,5013.19140625,53.76362149603665,-6.247263019904494,80.0,39.52186584472656,1.0,1105.2598876953125,4,pitch
10,358.0,352.0,1765.3243408203125,285.5993957519531,504.7098388671875,53.76396959647536,-6.246691877022386,80.0,11.222100257873535,1.0,1065.2662353515625,4,chip
11,371.0,365.0,1237.4405517578125,118.5101547241211,202.36224365234375,53.76401670277119,-6.246795058250427,280.0,0.0,2.0,1087.2484130859375,4,putt
12,386.0,387.0,1474.8914794921875,123.82856750488281,514.8341674804688,53.76397001557052,-6.246786089614034,40.0,0.0,2.0,1024.2987060546875,4,putt
13,413.0,411.0,7182.23876953125,2054.0859375,4927.70361328125,53.76411393284798,-6.246648542582989,120.0,123.19258880615234,1.0,1019.7238159179688,5,pitch
14,451.0,445.0,2292.796875,543.95947265625,779.9107666015625,53.76442783512175,-6.246038591489196,160.0,6.196145534515381,1.0,1035.2379150390625,5,putt
15,500.0,498.0,7631.861328125,1951.1165771484375,2345.9736328125,53.764210157096386,-6.246646195650101,80.0,40.7027587890625,1.0,1011.5673828125,6,pitch
16,563.0,564.0,1686.8236083984375,247.1804962158203,461.313232421875,53.764648865908384,-6.246174043044448,80.0,1.692212700843811,2.0,1002.892578125,6,putt
17,605.0,604.0,4184.0185546875,1073.6348876953125,1458.029541015625,53.76454761251807,-6.246517198160291,120.0,29.688030242919922,1.0,1011.83349609375,7,pitch
18,642.0,639.0,1463.1162109375,164.2125244140625,141.17266845703125,53.764811055734754,-6.246293568983674,240.0,0.0,1.0,1013.12841796875,7,putt
19,651.0,650.0,2459.2705078125,534.59814453125,782.3642578125,53.764788676053286,-6.246279655024409,120.0,13.488839149475098,1.0,1014.5618286132812,7,putt
20,694.0,693.0,7045.10400390625,1731.3623046875,4004.46435546875,53.764926977455616,-6.246188711374998,40.0,40.18719482421875,1.0,1094.8619384765625,8,pitch
21,740.0,739.0,1888.4674072265625,260.37738037109375,328.45654296875,53.7645117379725,-6.245629722252488,80.0,0.0,1.0,1052.6605224609375,8,chip
22,753.0,747.0,1635.223876953125,289.7712097167969,321.05023193359375,53.76461433246732,-6.245684707537293,200.0,4.256651878356934,1.0,1073.0064697265625,8,putt
23,783.0,781.0,8617.1796875,2338.1298828125,5569.0,53.764487178996205,-6.2455810233950615,80.0,60.61790084838867,1.0,1016.0905151367188,9,pitch
24,833.0,834.0,1423.959228515625,172.0359344482422,348.4154052734375,53.76412432640791,-6.246238835155964,120.0,0.0,2.0,1029.2501220703125,9,putt
25,840.0,841.0,1515.0567626953125,368.5787353515625,392.94818115234375,53.76412516459823,-6.246284684166312,440.0,3.3299474716186523,1.0,1027.9609375,9,putt
26,897.0,896.0,8457.7265625,2002.477783203125,3258.9033203125,53.76430897973478,-6.245665093883872,40.0,58.097801208496094,1.0,1012.5614624023438,10,pitch
27,938.0,936.0,1682.0238037109375,251.17100524902344,703.8121948242188,53.76397781074047,-6.246235398575664,120.0,0.0,1.0,1047.68115234375,10,putt
28,949.0,945.0,1784.9541015625,287.6396789550781,967.6744384765625,53.763916874304414,-6.246299520134926,80.0,7.624814033508301,1.0,1037.863525390625,10,putt
29,1000.0,999.0,8517.4189453125,1673.6368408203125,6769.8896484375,53.76401586458087,-6.24568210914731,40.0,0.0,1.0,1285.9986572265625,11,pitch
30,1049.0,1048.0,1690.5777587890625,222.3240509033203,637.1766357421875,53.76361361704767,-6.246437570080161,120.0,0.0,2.0,1019.1017456054688,11,putt
31,1061.0,1056.0,1323.4288330078125,95.68868255615234,217.76373291015625,53.76364613883197,-6.246347799897194,120.0,0.0,2.0,1039.0364990234375,11,putt
32,1111.0,1110.0,7828.37158203125,2045.886474609375,5217.25390625,53.76400521956384,-6.246515270322561,80.0,44.566932678222656,1.0,1088.7550048828125,12,pitch
33,1158.0,1157.0,1580.9180908203125,209.21156311035156,692.6900634765625,53.763424856588244,-6.2465861812233925,160.0,0.0,1.0,1011.0935668945312,12,chip
34,1168.0,1164.0,1800.708984375,335.3384094238281,437.33807373046875,53.763513872399926,-6.246519796550274,40.0,5.891876697540283,2.0,1017.46875,12,putt
35,1225.0,1223.0,6604.91650390625,1570.1614990234375,2981.74560546875,53.76313593238592,-6.24616390094161,80.0,45.35877990722656,1.0,1013.63623046875,13,pitch
36,1261.0,1261.0,1614.674560546875,137.98556518554688,631.257568359375,53.763365764170885,-6.246809642761946,40.0,0.0,1.0,1024.8902587890625,13,chip
37,1267.0,1261.0,1614.674560546875,137.98556518554688,631.257568359375,53.763347743079066,-6.246831268072128,40.0,0.0,1.0,1024.8902587890625,13,chip
38,1313.0,1314.0,1840.539306640625,291.7035827636719,742.5911254882812,53.76309486106038,-6.246606716886163,40.0,7.902803421020508,2.0,1084.6817626953125,13,chip
39,1352.0,1346.0,1628.952392578125,193.29348754882812,314.111083984375,53.76285849139094,-6.247364692389965,80.0,0.0,1.0,1056.8828125,13,putt
40,1400.0,1398.0,6452.91455078125,1562.955078125,3806.09814453125,53.76284223049879,-6.247879257425666,80.0,42.89765548706055,1.0,1014.3310546875,15,pitch
41,1436.0,1430.0,1774.6497802734375,300.45941162109375,450.67218017578125,53.76249681226909,-6.247281124815345,80.0,6.1556196212768555,1.0,1048.5904541015625,15,chip
42,1449.0,1443.0,1937.0609130859375,292.2808532714844,577.5382080078125,53.76255447976291,-6.247308449819684,40.0,0.0,1.0,1037.4737548828125,15,putt
43,1454.0,1450.0,1472.443603515625,148.84042358398438,475.7520751953125,53.76254576258361,-6.247319262474775,80.0,0.0,2.0,1024.0919189453125,15,putt
44,1480.0,1478.0,8879.556640625,2232.174560546875,7277.1318359375,53.762696804478765,-6.247211471199989,80.0,0.0,1.0,1144.5037841796875,16,pitch
45,1532.0,1530.0,1729.39208984375,226.0402069091797,789.627197265625,53.762953290715814,-6.246323576197028,120.0,0.0,2.0,1079.3289794921875,16,putt
46,1537.0,1533.0,1662.228271484375,273.980224609375,862.5352172851562,53.76296770758927,-6.246337071061134,80.0,21.56338119506836,2.0,1061.2039794921875,16,putt
47,1547.0,1541.0,2723.875732421875,546.261474609375,1348.4041748046875,53.76301514916122,-6.24633832834661,40.0,23.424381256103516,1.0,1057.1766357421875,16,putt
48,1615.0,1613.0,5843.603515625,1482.7784423828125,2684.234375,53.76278062351048,-6.246401779353619,80.0,32.4726676940918,1.0,1018.2869262695312,17,pitch
49,1670.0,1671.0,1372.9447021484375,173.23008728027344,478.72491455078125,53.76253629103303,-6.246791034936905,40.0,0.0,2.0,1020.87548828125,17,chip
50,1677.0,1678.0,1625.482666015625,389.3474426269531,405.6871337890625,53.76251240260899,-6.246824059635401,240.0,7.154891490936279,3.0,1025.9708251953125,17,chip
51,1757.0,1755.0,9015.83984375,2234.8701171875,4737.42578125,53.7622943893075,-6.24708934687078,40.0,77.69950866699219,1.0,1096.4134521484375,18,pitch
52,1801.0,1799.0,2186.772216796875,403.1909484863281,672.8585205078125,53.762670401483774,-6.247620759531856,120.0,3.6239657402038574,1.0,1013.7926635742188,18,chip
53,1814.0,1809.0,1518.7685546875,184.3258514404297,857.3367919921875,53.76271080225706,-6.247770711779594,40.0,0.0,2.0,1039.8612060546875,18,putt
